t,alpha,zoo,family,fingerprint,n_ne,n_components,max_ne_coop,n_coop_components,full_coop_exists,n_stable_faces,moran_ss,realized_coop
0.0,0.0,body,behavioral,4646208ebc75,100,1,1.0,1,True,0,—,1.0
0.2,0.0,body,behavioral,4646208ebc75,100,1,1.0,1,True,0,—,1.0
0.4,0.0,body,behavioral,4646208ebc75,100,1,1.0,1,True,0,—,1.0
0.6,0.0,body,behavioral,4646208ebc75,100,1,1.0,1,True,0,—,1.0
0.8,0.0,body,behavioral,4646208ebc75,100,1,1.0,1,True,0,—,1.0
1.0,0.0,body,behavioral,4646208ebc75,100,1,1.0,1,True,0,—,1.0
0.0,0.3,body,behavioral,335dcfbdb5f1,53,2,1.0,1,True,0,Def+Dup+OB,0.64159
0.2,0.3,body,behavioral,17a0f87577c1,20,2,1.0,1,True,0,Def+Dup,0.786653
0.4,0.3,body,behavioral,1cf1a683528b,13,2,1.0,1,True,4,Dup,0.8762439999999999
0.6,0.3,body,behavioral,6834f939325e,21,3,1.0,2,True,8,Dup,0.942296
0.8,0.3,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
1.0,0.3,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
0.0,0.45,body,behavioral,0589b43d45a5,9,1,0.0,0,False,0,Def+Dup+OB,0.0
0.2,0.45,body,behavioral,ac2617b8818d,8,2,1.0,1,True,5,Dup,0.9352309999999999
0.4,0.45,body,behavioral,6834f939325e,21,3,1.0,2,True,8,Dup,0.942296
0.6,0.45,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
0.8,0.45,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
1.0,0.45,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
0.0,0.62,body,behavioral,dd7f6ef7d6d2,25,1,0.0,0,False,0,Cup+Def+Dup+EB+OB,0.0
0.2,0.62,body,behavioral,8b123fc8e6dc,9,1,0.0,0,False,2,Dup+OB,0.006513
0.4,0.62,body,behavioral,53e3c19359ed,8,2,1.0,1,True,6,Dup,0.976082
0.6,0.62,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
0.8,0.62,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
1.0,0.62,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
0.0,0.8,body,behavioral,1761ebc2cf84,64,1,0.0,0,False,0,—,0.0
0.2,0.8,body,behavioral,c9d8b4614737,25,1,0.0,0,False,2,Def+Dup+OB,0.001686
0.4,0.8,body,behavioral,e292d278a43f,121,1,0.0,0,False,4,Dup+OB,0.015673
0.6,0.8,body,behavioral,f06190b89746,8,2,1.0,1,True,11,Dup,0.96942
0.8,0.8,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
1.0,0.8,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
0.0,1.0,body,behavioral,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
0.2,1.0,body,behavioral,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
0.4,1.0,body,behavioral,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
0.6,1.0,body,behavioral,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
0.8,1.0,body,behavioral,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
1.0,1.0,body,behavioral,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
0.0,0.0,body,syntactic,4646208ebc75,100,1,1.0,1,True,0,—,1.0
0.2,0.0,body,syntactic,4646208ebc75,100,1,1.0,1,True,0,—,1.0
