t,alpha,zoo,family,fingerprint,run,n_types,is_fully_proven,n_pure_ess,edges_strict,n_sccs,n_cycles,n_supports,n_stable_faces,n_extreme_ne,n_ne_components,n_attractors,largest_basin,dominant_support,moran_ss,moran_population,moran_beta
1.0,0.0,body,behavioral,4646208ebc75,body_t100_a000_4646208ebc75,10,True,0,0,10,0,1013,0,100,1,18,0.935323,Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
1.0,0.3,body,behavioral,3e68620cd1cf,body_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
1.0,0.45,body,behavioral,3e68620cd1cf,body_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
1.0,0.62,body,behavioral,3e68620cd1cf,body_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
1.0,0.8,body,behavioral,3e68620cd1cf,body_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
1.0,1.0,body,behavioral,3e68620cd1cf,body_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.8,0.0,body,behavioral,4646208ebc75,body_t100_a000_4646208ebc75,10,True,0,0,10,0,1013,0,100,1,18,0.935323,Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.8,0.3,body,behavioral,3e68620cd1cf,body_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.8,0.45,body,behavioral,3e68620cd1cf,body_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.8,0.62,body,behavioral,3e68620cd1cf,body_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
