,CIMCIC,CooperateBot,CupodBot,CupodTrollBot,DBot,DIMCID,DefectBot,DupocBot,EBot,OBot,PrudentBot,TitForTatBot
CIMCIC,0,2,0,3,3,0,0,0,3,0,0,3
CooperateBot,2,2,2,2,-1,2,-1,2,-1,2,-1,2
CupodBot,0,2,0,0,2,0,0,-1,2,-1,-1,2
CupodTrollBot,-1,2,0,2,-1,2,-1,-1,-1,-1,-1,2
DBot,-1,3,2,3,0,2,-1,-1,-1,-1,-1,-1
DIMCID,0,2,0,2,2,0,0,-1,2,-1,-1,2
DefectBot,0,3,0,3,3,0,0,0,0,0,0,0
DupocBot,0,2,3,3,3,3,0,0,3,0,0,3
EBot,-1,3,2,3,3,2,0,-1,2,-1,-1,-1
OBot,0,2,3,3,3,3,0,0,3,0,0,3
PrudentBot,0,3,3,3,3,3,0,0,3,0,0,0
TitForTatBot,-1,2,2,2,3,2,0,-1,3,-1,0,2
