,CIMCIC,CooperateBot,CupodBot,CupodTrollBot,DBot,DIMCID,DefectBot,DupocBot,EBot,OBot,PrudentBot,TitForTatBot
CIMCIC,2,2,2,2,2,2,2,2,2,2,2,2
CooperateBot,2,2,2,2,2,2,2,2,2,2,2,2
CupodBot,2,2,2,2,2,2,2,2,2,2,2,2
CupodTrollBot,2,2,2,2,2,2,2,2,2,2,2,2
DBot,2,2,2,2,2,2,2,2,2,2,2,2
DIMCID,2,2,2,2,2,2,2,2,2,2,2,2
DefectBot,2,2,2,2,2,2,2,2,2,2,2,2
DupocBot,2,2,2,2,2,2,2,2,2,2,2,2
EBot,2,2,2,2,2,2,2,2,2,2,2,2
OBot,2,2,2,2,2,2,2,2,2,2,2,2
PrudentBot,2,2,2,2,2,2,2,2,2,2,2,2
TitForTatBot,2,2,2,2,2,2,2,2,2,2,2,2
