,CIMCIC,CooperateBot,CupodBot,CupodTrollBot,DBot,DIMCID,DefectBot,DupocBot,EBot,OBot,PrudentBot,TitForTatBot
CIMCIC,0,3,3,3,3,3,0,0,3,0,0,3
CooperateBot,-1,2,-1,2,-1,2,-1,-1,-1,-1,-1,2
CupodBot,-1,3,0,0,-1,0,0,-1,0,0,0,2
CupodTrollBot,-1,2,0,2,-1,0,-1,-1,-1,-1,-1,2
DBot,-1,3,3,3,0,3,-1,-1,0,-1,-1,0
DIMCID,-1,2,0,0,-1,0,0,-1,-1,0,0,2
DefectBot,0,3,0,3,3,0,0,0,0,0,0,0
DupocBot,0,3,3,3,3,3,0,0,3,0,0,3
EBot,-1,3,0,3,0,3,0,-1,0,0,0,0
OBot,0,3,0,3,3,0,0,0,0,0,0,0
PrudentBot,0,3,0,3,3,0,0,0,0,0,0,0
TitForTatBot,-1,2,2,2,0,2,0,-1,0,0,0,2
