i,j,A_ii,A_ji,A_ij,A_jj,clause_a_holds,tie_at_ji,clause_b_holds,i_survives_j,touches_suspect_cell
CooperateBot,CupodBot,2,2,2,0,False,True,True,True,False
CooperateBot,DBot,2,3,-1,0,False,False,False,False,False
CooperateBot,DefectBot,2,3,-1,0,False,False,False,False,False
CooperateBot,DupocBot,2,2,2,2,False,True,False,False,False
CooperateBot,EBot,2,3,-1,2,False,False,False,False,False
CooperateBot,OBot,2,2,2,0,False,True,True,True,False
CooperateBot,TitForTatBot,2,2,2,2,False,True,False,False,False
CupodBot,CooperateBot,0,2,2,2,False,False,False,False,False
CupodBot,DBot,0,2,2,0,False,False,False,False,False
CupodBot,DefectBot,0,0,0,0,False,True,False,False,False
CupodBot,DupocBot,0,3,-1,2,False,False,False,False,True
CupodBot,EBot,0,2,2,2,False,False,False,False,False
CupodBot,OBot,0,0,0,0,False,True,False,False,False
CupodBot,TitForTatBot,0,2,2,2,False,False,False,False,False
DBot,CooperateBot,0,-1,3,2,True,False,False,True,False
DBot,CupodBot,0,2,2,0,False,False,False,False,False
DBot,DefectBot,0,3,-1,0,False,False,False,False,False
DBot,DupocBot,0,2,2,2,False,False,False,False,False
DBot,EBot,0,3,-1,2,False,False,False,False,False
DBot,OBot,0,3,-1,0,False,False,False,False,False
DBot,TitForTatBot,0,3,-1,2,False,False,False,False,False
DefectBot,CooperateBot,0,-1,3,2,True,False,False,True,False
DefectBot,CupodBot,0,0,0,0,False,True,False,False,False
DefectBot,DBot,0,-1,3,0,True,False,False,True,False
DefectBot,DupocBot,0,0,0,2,False,True,False,False,False
DefectBot,EBot,0,0,0,2,False,True,False,False,False
DefectBot,OBot,0,0,0,0,False,True,False,False,False
DefectBot,TitForTatBot,0,0,0,2,False,True,False,False,False
DupocBot,CooperateBot,2,2,2,2,False,True,False,False,False
DupocBot,CupodBot,2,-1,3,0,True,False,False,True,True
DupocBot,DBot,2,2,2,0,False,True,True,True,False
DupocBot,DefectBot,2,0,0,0,True,False,False,True,False
DupocBot,EBot,2,2,2,2,False,True,False,False,False
DupocBot,OBot,2,0,0,0,True,False,False,True,False
DupocBot,TitForTatBot,2,2,2,2,False,True,False,False,False
EBot,CooperateBot,2,-1,3,2,True,False,False,True,False
EBot,CupodBot,2,2,2,0,False,True,True,True,False
EBot,DBot,2,-1,3,0,True,False,False,True,False
EBot,DefectBot,2,0,0,0,True,False,False,True,False
EBot,DupocBot,2,2,2,2,False,True,False,False,False
EBot,OBot,2,3,-1,0,False,False,False,False,False
EBot,TitForTatBot,2,3,-1,2,False,False,False,False,False
OBot,CooperateBot,0,2,2,2,False,False,False,False,False
OBot,CupodBot,0,0,0,0,False,True,False,False,False
OBot,DBot,0,-1,3,0,True,False,False,True,False
OBot,DefectBot,0,0,0,0,False,True,False,False,False
OBot,DupocBot,0,0,0,2,False,True,False,False,False
OBot,EBot,0,-1,3,2,True,False,False,True,False
OBot,TitForTatBot,0,-1,3,2,True,False,False,True,False
TitForTatBot,CooperateBot,2,2,2,2,False,True,False,False,False
TitForTatBot,CupodBot,2,2,2,0,False,True,True,True,False
TitForTatBot,DBot,2,-1,3,0,True,False,False,True,False
TitForTatBot,DefectBot,2,0,0,0,True,False,False,True,False
TitForTatBot,DupocBot,2,2,2,2,False,True,False,False,False
TitForTatBot,EBot,2,-1,3,2,True,False,False,True,False
TitForTatBot,OBot,2,3,-1,0,False,False,False,False,False
