support_id,support_tuple,support_size,support_mask,x_CooperateBot,x_CupodBot,x_DBot,x_DefectBot,x_DupocBot,x_OBot,x_TitForTatBot,x_EBot,c,c_crosscheck,is_interior,is_singular,tangent_eigvals,max_re_eigval,min_re_eigval,has_complex_eigvals,within_face_class,external_invasion_fitnesses,max_external_fitness,externally_stable,overall_class
0,"(CooperateBot, CupodBot)",2,11000000,1.0,-0.0,,,,,,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
1,"(CooperateBot, DBot)",2,10100000,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
2,"(CooperateBot, DefectBot)",2,10010000,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
3,"(CooperateBot, DupocBot)",2,10001000,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
4,"(CooperateBot, OBot)",2,10000100,1.0,,,,,-0.0,,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
5,"(CooperateBot, TitForTatBot)",2,10000010,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
6,"(CooperateBot, EBot)",2,10000001,1.5,,,,,,,-0.5000000000000001,3.5,3.4999999999999996,False,False,[],,,False,,{},-inf,True,non_interior
7,"(CupodBot, DBot)",2,01100000,,0.5,0.5,,,,,,1.0,1.0,True,False,"[[-1.0, 0.0]]",-1.0,-1.0,False,asymptotically_stable,"{""CooperateBot"": -0.5, ""DefectBot"": 0.5, ""DupocBot"": 1.5, ""OBot"": 0.5, ""TitForTatBot"": 1.5, ""EBot"": 1.5}",1.5,False,asymp_stable_invadable
8,"(CupodBot, DefectBot)",2,01010000,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
9,"(CupodBot, DupocBot)",2,01001000,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
10,"(CupodBot, OBot)",2,01000100,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
11,"(CupodBot, TitForTatBot)",2,01000010,,0.0,,,,,1.0,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
12,"(CupodBot, EBot)",2,01000001,,0.0,,,,,,1.0,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
13,"(DBot, DefectBot)",2,00110000,,,-0.49999999999999994,1.4999999999999998,,,,,-1.4999999999999998,-1.4999999999999993,False,False,[],,,False,,{},-inf,True,non_interior
14,"(DBot, DupocBot)",2,00101000,,,0.0,,1.0,,,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
15,"(DBot, OBot)",2,00100100,,,-0.49999999999999994,,,1.4999999999999998,,,-1.4999999999999998,-1.4999999999999993,False,False,[],,,False,,{},-inf,True,non_interior
16,"(DBot, TitForTatBot)",2,00100010,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
17,"(DBot, EBot)",2,00100001,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
18,"(DefectBot, DupocBot)",2,00011000,,,,1.0,0.0,,,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
19,"(DefectBot, OBot)",2,00010100,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
20,"(DefectBot, TitForTatBot)",2,00010010,,,,1.0,,,0.0,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
21,"(DefectBot, EBot)",2,00010001,,,,1.0,,,,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
22,"(DupocBot, OBot)",2,00001100,,,,,0.0,1.0,,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
23,"(DupocBot, TitForTatBot)",2,00001010,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
24,"(DupocBot, EBot)",2,00001001,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
25,"(OBot, TitForTatBot)",2,00000110,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
26,"(OBot, EBot)",2,00000101,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
27,"(TitForTatBot, EBot)",2,00000011,,,,,,,-0.5,1.5,3.5,3.5,False,False,[],,,False,,{},-inf,True,non_interior
28,"(CooperateBot, CupodBot, DBot)",3,11100000,-0.6666666666666666,1.0,0.6666666666666666,,,,,,-0.0,-9.868649107779169e-17,False,False,[],,,False,,{},-inf,True,non_interior
29,"(CooperateBot, CupodBot, DefectBot)",3,11010000,0.0,0.3333333333333333,,0.6666666666666666,,,,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
30,"(CooperateBot, CupodBot, DupocBot)",3,11001000,1.0,-0.0,,,-0.0,,,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
31,"(CooperateBot, CupodBot, OBot)",3,11000100,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
32,"(CooperateBot, CupodBot, TitForTatBot)",3,11000010,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
33,"(CooperateBot, CupodBot, EBot)",3,11000001,6.0000000000000036,-3.000000000000002,,,,,,-2.0000000000000013,8.000000000000004,8.000000000000007,False,False,[],,,False,,{},-inf,True,non_interior
34,"(CooperateBot, DBot, DefectBot)",3,10110000,0.3333333333333333,,-0.3333333333333333,1.0,,,,,-1.6653345369377346e-16,4.9343245538895844e-17,False,False,[],,,False,,{},-inf,True,non_interior
35,"(CooperateBot, DBot, DupocBot)",3,10101000,0.0,,0.0,,1.0,,,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
36,"(CooperateBot, DBot, OBot)",3,10100100,0.625,,0.12500000000000003,,,0.25000000000000006,,,1.625,1.625,True,False,"[[-0.1875000000000001, 0.5266343608235224], [-0.1875000000000001, -0.5266343608235224]]",-0.1875000000000001,-0.1875000000000001,True,asymptotically_stable,"{""CupodBot"": -0.125, ""DefectBot"": 0.625, ""DupocBot"": -0.125, ""TitForTatBot"": -0.25, ""EBot"": 0.375}",0.625,False,asymp_stable_invadable
37,"(CooperateBot, DBot, TitForTatBot)",3,10100010,0.75,,-1.233581138472396e-17,,,,0.25000000000000006,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
38,"(CooperateBot, DBot, EBot)",3,10100001,1.0000000000000002,,-1.0000000000000004,,,,,1.0000000000000004,2.0,2.000000000000001,False,False,[],,,False,,{},-inf,True,non_interior
39,"(CooperateBot, DefectBot, DupocBot)",3,10011000,0.6666666666666666,,,-1.1102230246251565e-16,0.3333333333333333,,,,2.0,1.9999999999999996,False,False,[],,,False,,{},-inf,True,non_interior
40,"(CooperateBot, DefectBot, OBot)",3,10010100,0.0,,,0.6666666666666666,,0.3333333333333333,,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
41,"(CooperateBot, DefectBot, TitForTatBot)",3,10010010,0.6666666666666666,,,-1.1102230246251565e-16,,,0.3333333333333333,,2.0,1.9999999999999996,False,False,[],,,False,,{},-inf,True,non_interior
42,"(CooperateBot, DefectBot, EBot)",3,10010001,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
43,"(CooperateBot, DupocBot, OBot)",3,10001100,1.0,,,,-0.0,-0.0,,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
44,"(CooperateBot, DupocBot, TitForTatBot)",3,10001010,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
45,"(CooperateBot, DupocBot, EBot)",3,10001001,0.0,,,,1.0,,,-0.0,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
46,"(CooperateBot, OBot, TitForTatBot)",3,10000110,1.0,,,,,-0.0,0.0,,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
47,"(CooperateBot, OBot, EBot)",3,10000101,0.5,,,,,0.3333333333333333,,0.16666666666666666,1.5,1.4999999999999998,True,False,"[[-0.08333333333333329, 0.5713045500334203], [-0.08333333333333329, -0.5713045500334203]]",-0.08333333333333329,-0.08333333333333329,True,asymptotically_stable,"{""CupodBot"": -0.16666666666666674, ""DBot"": -0.5, ""DefectBot"": 0.0, ""DupocBot"": -0.16666666666666674, ""TitForTatBot"": -0.33333333333333326}",0.0,False,asymp_stable_invadable
48,"(CooperateBot, TitForTatBot, EBot)",3,10000011,0.75,,,,,,0.25000000000000006,-0.0,2.0,2.0,False,False,[],,,False,,{},-inf,True,non_interior
49,"(CupodBot, DBot, DefectBot)",3,01110000,,0.3333333333333333,0.0,0.6666666666666666,,,,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
50,"(CupodBot, DBot, DupocBot)",3,01101000,,-1.9999999999999998,1.0,,1.9999999999999998,,,,2.220446049250313e-16,1.7763568394002505e-15,False,False,[],,,False,,{},-inf,True,non_interior
51,"(CupodBot, DBot, OBot)",3,01100100,,0.3333333333333333,0.0,,,0.6666666666666666,,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
52,"(CupodBot, DBot, TitForTatBot)",3,01100010,,1.0,-1.9999999999999998,,,,1.9999999999999998,,2.220446049250313e-16,1.7763568394002505e-15,False,False,[],,,False,,{},-inf,True,non_interior
53,"(CupodBot, DBot, EBot)",3,01100001,,1.0,-1.9999999999999998,,,,,1.9999999999999998,2.220446049250313e-16,1.7763568394002505e-15,False,False,[],,,False,,{},-inf,True,non_interior
54,"(CupodBot, DefectBot, DupocBot)",3,01011000,,0.0,,1.0,-0.0,,,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
55,"(CupodBot, DefectBot, OBot)",3,01010100,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
56,"(CupodBot, DefectBot, TitForTatBot)",3,01010010,,0.0,,1.0,,,0.0,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
57,"(CupodBot, DefectBot, EBot)",3,01010001,,0.0,,1.0,,,,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
58,"(CupodBot, DupocBot, OBot)",3,01001100,,0.0,,,-0.0,1.0,,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
59,"(CupodBot, DupocBot, TitForTatBot)",3,01001010,,0.0,,,-0.0,,1.0000000000000002,,2.0000000000000004,2.000000000000001,False,False,[],,,False,,{},-inf,True,non_interior
60,"(CupodBot, DupocBot, EBot)",3,01001001,,0.0,,,-0.0,,,1.0000000000000002,2.0000000000000004,2.000000000000001,False,False,[],,,False,,{},-inf,True,non_interior
