i,j,A_ij,A_jj,margin,touches_suspect_cell
CooperateBot,CupodBot,2,0,2,False
CooperateBot,OBot,2,0,2,False
CupodBot,DBot,2,0,2,False
DBot,CooperateBot,3,2,1,False
DBot,CupodBot,2,0,2,False
DefectBot,CooperateBot,3,2,1,False
DefectBot,DBot,3,0,3,False
DupocBot,CupodBot,3,0,3,True
DupocBot,DBot,2,0,2,False
EBot,CooperateBot,3,2,1,False
EBot,CupodBot,2,0,2,False
EBot,DBot,3,0,3,False
OBot,DBot,3,0,3,False
OBot,EBot,3,2,1,False
OBot,TitForTatBot,3,2,1,False
TitForTatBot,CupodBot,2,0,2,False
TitForTatBot,DBot,3,0,3,False
TitForTatBot,EBot,3,2,1,False
