i,j,A_ij,A_jj,margin,is_tie,touches_suspect_cell
CooperateBot,CupodBot,2,0,2,False,False
CooperateBot,DupocBot,2,2,0,True,False
CooperateBot,OBot,2,0,2,False,False
CooperateBot,TitForTatBot,2,2,0,True,False
CupodBot,CooperateBot,2,2,0,True,False
CupodBot,DBot,2,0,2,False,False
CupodBot,DefectBot,0,0,0,True,False
CupodBot,EBot,2,2,0,True,False
CupodBot,OBot,0,0,0,True,False
CupodBot,TitForTatBot,2,2,0,True,False
DBot,CooperateBot,3,2,1,False,False
DBot,CupodBot,2,0,2,False,False
DBot,DupocBot,2,2,0,True,False
DefectBot,CooperateBot,3,2,1,False,False
DefectBot,CupodBot,0,0,0,True,False
DefectBot,DBot,3,0,3,False,False
DefectBot,OBot,0,0,0,True,False
DupocBot,CooperateBot,2,2,0,True,False
DupocBot,CupodBot,3,0,3,False,True
DupocBot,DBot,2,0,2,False,False
DupocBot,DefectBot,0,0,0,True,False
DupocBot,EBot,2,2,0,True,False
DupocBot,OBot,0,0,0,True,False
DupocBot,TitForTatBot,2,2,0,True,False
EBot,CooperateBot,3,2,1,False,False
EBot,CupodBot,2,0,2,False,False
EBot,DBot,3,0,3,False,False
EBot,DefectBot,0,0,0,True,False
EBot,DupocBot,2,2,0,True,False
OBot,CooperateBot,2,2,0,True,False
OBot,CupodBot,0,0,0,True,False
OBot,DBot,3,0,3,False,False
OBot,DefectBot,0,0,0,True,False
OBot,EBot,3,2,1,False,False
OBot,TitForTatBot,3,2,1,False,False
TitForTatBot,CooperateBot,2,2,0,True,False
TitForTatBot,CupodBot,2,0,2,False,False
TitForTatBot,DBot,3,0,3,False,False
TitForTatBot,DefectBot,0,0,0,True,False
TitForTatBot,DupocBot,2,2,0,True,False
TitForTatBot,EBot,3,2,1,False,False
