i,j,A_ij,A_jj,A_ji,A_ii,touches_suspect_cell,explanation
CooperateBot,DupocBot,2,2,2,2,False,"A[CooperateBot,DupocBot]=2 == A[DupocBot,DupocBot]=2 (clause (a) tied); clause (b) is decided by comparing A[DupocBot,CooperateBot]=2 against A[CooperateBot,CooperateBot]=2."
CooperateBot,TitForTatBot,2,2,2,2,False,"A[CooperateBot,TitForTatBot]=2 == A[TitForTatBot,TitForTatBot]=2 (clause (a) tied); clause (b) is decided by comparing A[TitForTatBot,CooperateBot]=2 against A[CooperateBot,CooperateBot]=2."
CupodBot,CooperateBot,2,2,2,0,False,"A[CupodBot,CooperateBot]=2 == A[CooperateBot,CooperateBot]=2 (clause (a) tied); clause (b) is decided by comparing A[CooperateBot,CupodBot]=2 against A[CupodBot,CupodBot]=0."
CupodBot,DefectBot,0,0,0,0,False,"A[CupodBot,DefectBot]=0 == A[DefectBot,DefectBot]=0 (clause (a) tied); clause (b) is decided by comparing A[DefectBot,CupodBot]=0 against A[CupodBot,CupodBot]=0."
CupodBot,EBot,2,2,2,0,False,"A[CupodBot,EBot]=2 == A[EBot,EBot]=2 (clause (a) tied); clause (b) is decided by comparing A[EBot,CupodBot]=2 against A[CupodBot,CupodBot]=0."
CupodBot,OBot,0,0,0,0,False,"A[CupodBot,OBot]=0 == A[OBot,OBot]=0 (clause (a) tied); clause (b) is decided by comparing A[OBot,CupodBot]=0 against A[CupodBot,CupodBot]=0."
CupodBot,TitForTatBot,2,2,2,0,False,"A[CupodBot,TitForTatBot]=2 == A[TitForTatBot,TitForTatBot]=2 (clause (a) tied); clause (b) is decided by comparing A[TitForTatBot,CupodBot]=2 against A[CupodBot,CupodBot]=0."
DBot,DupocBot,2,2,2,0,False,"A[DBot,DupocBot]=2 == A[DupocBot,DupocBot]=2 (clause (a) tied); clause (b) is decided by comparing A[DupocBot,DBot]=2 against A[DBot,DBot]=0."
DefectBot,CupodBot,0,0,0,0,False,"A[DefectBot,CupodBot]=0 == A[CupodBot,CupodBot]=0 (clause (a) tied); clause (b) is decided by comparing A[CupodBot,DefectBot]=0 against A[DefectBot,DefectBot]=0."
DefectBot,OBot,0,0,0,0,False,"A[DefectBot,OBot]=0 == A[OBot,OBot]=0 (clause (a) tied); clause (b) is decided by comparing A[OBot,DefectBot]=0 against A[DefectBot,DefectBot]=0."
DupocBot,CooperateBot,2,2,2,2,False,"A[DupocBot,CooperateBot]=2 == A[CooperateBot,CooperateBot]=2 (clause (a) tied); clause (b) is decided by comparing A[CooperateBot,DupocBot]=2 against A[DupocBot,DupocBot]=2."
DupocBot,DefectBot,0,0,0,2,False,"A[DupocBot,DefectBot]=0 == A[DefectBot,DefectBot]=0 (clause (a) tied); clause (b) is decided by comparing A[DefectBot,DupocBot]=0 against A[DupocBot,DupocBot]=2."
DupocBot,EBot,2,2,2,2,False,"A[DupocBot,EBot]=2 == A[EBot,EBot]=2 (clause (a) tied); clause (b) is decided by comparing A[EBot,DupocBot]=2 against A[DupocBot,DupocBot]=2."
DupocBot,OBot,0,0,0,2,False,"A[DupocBot,OBot]=0 == A[OBot,OBot]=0 (clause (a) tied); clause (b) is decided by comparing A[OBot,DupocBot]=0 against A[DupocBot,DupocBot]=2."
DupocBot,TitForTatBot,2,2,2,2,False,"A[DupocBot,TitForTatBot]=2 == A[TitForTatBot,TitForTatBot]=2 (clause (a) tied); clause (b) is decided by comparing A[TitForTatBot,DupocBot]=2 against A[DupocBot,DupocBot]=2."
EBot,DefectBot,0,0,0,2,False,"A[EBot,DefectBot]=0 == A[DefectBot,DefectBot]=0 (clause (a) tied); clause (b) is decided by comparing A[DefectBot,EBot]=0 against A[EBot,EBot]=2."
EBot,DupocBot,2,2,2,2,False,"A[EBot,DupocBot]=2 == A[DupocBot,DupocBot]=2 (clause (a) tied); clause (b) is decided by comparing A[DupocBot,EBot]=2 against A[EBot,EBot]=2."
OBot,CooperateBot,2,2,2,0,False,"A[OBot,CooperateBot]=2 == A[CooperateBot,CooperateBot]=2 (clause (a) tied); clause (b) is decided by comparing A[CooperateBot,OBot]=2 against A[OBot,OBot]=0."
OBot,CupodBot,0,0,0,0,False,"A[OBot,CupodBot]=0 == A[CupodBot,CupodBot]=0 (clause (a) tied); clause (b) is decided by comparing A[CupodBot,OBot]=0 against A[OBot,OBot]=0."
OBot,DefectBot,0,0,0,0,False,"A[OBot,DefectBot]=0 == A[DefectBot,DefectBot]=0 (clause (a) tied); clause (b) is decided by comparing A[DefectBot,OBot]=0 against A[OBot,OBot]=0."
TitForTatBot,CooperateBot,2,2,2,2,False,"A[TitForTatBot,CooperateBot]=2 == A[CooperateBot,CooperateBot]=2 (clause (a) tied); clause (b) is decided by comparing A[CooperateBot,TitForTatBot]=2 against A[TitForTatBot,TitForTatBot]=2."
TitForTatBot,DefectBot,0,0,0,2,False,"A[TitForTatBot,DefectBot]=0 == A[DefectBot,DefectBot]=0 (clause (a) tied); clause (b) is decided by comparing A[DefectBot,TitForTatBot]=0 against A[TitForTatBot,TitForTatBot]=2."
TitForTatBot,DupocBot,2,2,2,2,False,"A[TitForTatBot,DupocBot]=2 == A[DupocBot,DupocBot]=2 (clause (a) tied); clause (b) is decided by comparing A[DupocBot,TitForTatBot]=2 against A[TitForTatBot,TitForTatBot]=2."
