Outcome Matrix,CooperateBot,CupodBot,DBot,DefectBot,DupocBot,OBot,TitForTatBot,MirrorBot,EBot,CupodTrollBot,PrudentBot,JustBot,CIMCIC,DIMCID,PrudentBot2
CooperateBot,"(C, C)","(C, C)","(C, D)","(C, D)","(C, C)","(C, C)","(C, C)","(C, C)","(C, D)","(C, C)","(C, D)","(C, C)","(C, C)","(C, C)",Open Problem
CupodBot,,"(D, D)","(C, C)","(D, D)",Open Problem,"(C, D)","(C, C)","(D, D)","(C, C)","(D, D)",Open Problem,Open Problem,Open Problem,Open Problem,Open Problem
DBot,,,"(D, D)","(C, D)","(C, D)","(C, D)","(C, D)","(C, C)","(C, D)","(D, C)","(C, D)","(C, D)",Open Problem,Open Problem,Open Problem
DefectBot,,,,"(D, D)","(D, D)","(D, D)","(D, D)","(D, D)","(D, D)","(D, C)","(D, D)","(D, D)","(D, D)","(D, D)",Open Problem
DupocBot,,,,,"(C, C)","(D, D)","(C, C)","(C, C)","(D, C)","(C, C)","(C, C)","(C, C)",Open Problem,Open Problem,Open Problem
OBot,,,,,,"(D, D)","(D, C)","(D, D)","(D, C)","(C, C)","(D, D)","(D, D)",Open Problem,Open Problem,Open Problem
TitForTatBot,,,,,,,"(C, C)","(C, C)","(D, C)","(C, C)","(D, D)","(C, C)",Open Problem,Open Problem,Open Problem
MirrorBot,,,,,,,,none,"(C, C)","(C, C)","(C, C)",Open Problem,Open Problem,Open Problem,Open Problem
EBot,,,,,,,,,"(C, C)","(D, C)","(C, D)","(C, D)",Open Problem,Open Problem,Open Problem
CupodTrollBot,,,,,,,,,,"(C, C)","(C, D)","(C, C)",Open Problem,Open Problem,Open Problem
PrudentBot,,,,,,,,,,,"(D, D)","(C, C)",Open Problem,Open Problem,Open Problem
JustBot,,,,,,,,,,,,"(C, C)",Open Problem,Open Problem,Open Problem
CIMCIC,,,,,,,,,,,,,Open Problem,Open Problem,Open Problem
DIMCID,,,,,,,,,,,,,,Open Problem,Open Problem
PrudentBot2,,,,,,,,,,,,,,,"(C, C)"
